model,family,auc,logloss,brier,ece,top1,top1_n,parlay5,parlay5_n,secs
baseline: rank by scoring rate,heuristic,0.6542738627993483,0.535675882539357,0.1759346360026747,0.048512125745838325,0.5451327433628319,1130,0.14285714285714285,21,0.4
baseline: rank by carry share,heuristic,0.5887275323633296,1.5009129849483687,0.20870069427240173,0.173082425877742,0.4814159292035398,1130,0.0,2,0.4
baseline: rank by touches,heuristic,0.6479401795710517,,,,0.48849557522123893,1130,0.034482758620689655,29,0.4
baseline: expected TDs (no fit),heuristic,0.6627185959107204,0.5604893388521616,0.17743179667690828,0.06734403908326222,0.5336283185840708,1130,0.047619047619047616,21,0.4
control: random,heuristic,0.4952903496889586,0.5558058660581445,0.18451659939976534,0.009687409384864537,0.24424778761061947,1130,,0,0.3
logistic L2 (shipped),linear,0.6918335019873183,0.5118777470239664,0.1676608936751624,0.016604648962927415,0.5628318584070796,1130,0.3157894736842105,19,0.7
logistic L1,linear,0.6918264423257902,0.5118885252896467,0.16766327386120122,0.01632441218990202,0.5646017699115045,1130,0.3157894736842105,19,1.1
logistic elastic-net,linear,0.6918266299579904,0.5118882062615625,0.16766328993678448,0.01626364777644972,0.5654867256637168,1130,0.3157894736842105,19,3.6
linear discriminant,linear,0.6920272322338985,0.512313750967634,0.16798898267732149,0.015488948679582325,0.5672566371681416,1130,0.18181818181818182,22,0.5
gaussian naive bayes,linear,0.6786654390048176,0.7358537254876856,0.2057204993827842,0.15176603129753524,0.5575221238938053,1130,0.11538461538461539,26,0.4
ridge classifier,linear,0.6920267396993732,,,,0.5672566371681416,1130,0.13793103448275862,29,0.4
k-nearest neighbours (k=200),nonlinear,0.6898273033230483,0.5120704539384108,0.16796377365948936,0.00952774031530485,0.5690265486725664,1130,0.25,16,3.3
decision tree (depth 6),nonlinear,0.6777781673751931,0.5156594804138555,0.16919062119272357,0.009675167590588153,0.5566371681415929,1130,0.35294117647058826,17,0.8
random forest,nonlinear,0.6955208499832479,0.5063484524266213,0.16675858447019407,0.007152039632254404,0.5716814159292035,1130,0.3888888888888889,18,13.1
extra trees,nonlinear,0.6980137783015322,0.50944967294426,0.16713718524761118,0.01914290564962051,0.5814159292035398,1130,0.375,16,3.4
hist gradient boosting,nonlinear,0.6999781994837535,0.5047397071408777,0.16613992922124918,0.005600098396089254,0.5672566371681416,1130,0.3684210526315789,19,1.0
adaboost,nonlinear,0.6929789848417809,0.5757866393522727,0.19322641345110533,0.15008876927109677,0.5469026548672566,1130,0.2857142857142857,14,16.0
"neural net (64,32)",nonlinear,0.6965466938561361,0.5084539558837075,0.1667060693176046,0.00668616575625641,0.5628318584070796,1130,0.3,20,7.3
poisson rate -> P(>=1),reformulated,0.6909101404767101,0.5133358452475278,0.16797870154230482,0.023902358609496376,0.5610619469026549,1130,0.3157894736842105,19,1.5
hierarchical team x share,reformulated,0.6902978379727936,0.5117915014954563,0.1677912411549148,0.004804156047382273,0.5690265486725664,1130,0.3333333333333333,18,1.5
within-game pairwise ranker,reformulated,0.6684392143792875,,,,0.5327433628318584,1130,0.13793103448275862,29,1.3
ordinal 0/1/2+,reformulated,0.6917329076740514,0.5121622271381718,0.16773835310394555,0.01831783509663917,0.5637168141592921,1130,0.3684210526315789,19,1.4
stack: logistic+boost+poisson,reformulated,0.7003506200833767,0.508527324486889,0.16668475727402493,0.018771084752133457,0.5681415929203539,1130,0.4,20,9.3
calibrated boosting (isotonic),nonlinear,0.6998215207331822,0.5046807921121536,0.16613904307377034,0.008197974125360054,0.5663716814159292,1130,0.2777777777777778,18,1.8
