model,auc,logloss,brier,base_rate,top1_hit,games,top2_hit,top3_hit,season
baseline: anytime_rate,0.6592458546502591,0.534066220910604,0.17546984229914722,0.2436340094950367,0.5462184873949579,952,0.7426470588235294,0.8350840336134454,2025
baseline: carry_share,0.5911879097809153,1.4956352244195534,0.20746178794513678,0.2436340094950367,0.4947478991596639,952,0.7163865546218487,0.8172268907563025,2025
logistic,0.6902439369166407,0.5120528139290665,0.16763960616288826,0.2436340094950367,0.555672268907563,952,0.7636554621848739,0.8602941176470589,2025
logistic + platt,0.6899999320848743,0.5119133807845675,0.1676513926593457,0.2436340094950367,0.5577731092436975,952,0.7615546218487395,0.8592436974789915,2025
gradient boosting,0.6987302714457013,0.5048326401064949,0.16611952698687144,0.2436340094950367,0.5672268907563025,952,0.7668067226890757,0.8592436974789915,2025
baseline: anytime_rate,0.6164595568991028,0.5457320631765546,0.17883838257786347,0.24570273003033366,0.5393258426966292,178,0.7303370786516854,0.8314606741573034,2026
baseline: carry_share,0.5733664439271298,1.5338852023943117,0.21644062271263897,0.24570273003033366,0.4101123595505618,178,0.6460674157303371,0.7752808988764045,2026
logistic,0.7014904057733302,0.5107840361534108,0.16779388502248743,0.24570273003033366,0.601123595505618,178,0.7584269662921348,0.8089887640449438,2026
logistic + platt,0.7024753877102204,0.5097646983443264,0.16751364145939518,0.24570273003033366,0.5955056179775281,178,0.7640449438202247,0.8202247191011236,2026
gradient boosting,0.7092124312443381,0.5040149918226509,0.16623719248582647,0.24570273003033366,0.550561797752809,178,0.7584269662921348,0.8314606741573034,2026
