size,floor,max_per_game,max_per_team,slates,filled,fill_rate,hits,realised,predicted,leg_hit_rate,ratio
5,0.35,1,1,88,28,0.3181818181818182,6,0.21428571428571427,0.18543371926047916,0.65,1.1555919556610232
5,0.35,2,1,88,45,0.5113636363636364,6,0.13333333333333333,0.1392523293255575,0.6177777777777778,0.9574944561366282
5,0.35,2,2,88,47,0.5340909090909091,6,0.1276595744680851,0.14008409893484097,0.6170212765957447,0.9113066753383976
5,0.35,99,99,88,65,0.7386363636363636,6,0.09230769230769231,0.11434848521672222,0.5384615384615384,0.8072489297321563
5,0.45,1,1,88,23,0.26136363636363635,6,0.2608695652173913,0.21874765407410426,0.6869565217391305,1.1925593731351174
5,0.45,2,1,88,33,0.375,6,0.18181818181818182,0.17825435035968243,0.6484848484848484,1.0199929564204648
5,0.45,2,2,88,36,0.4090909090909091,6,0.16666666666666666,0.17344284932848525,0.6555555555555556,0.9609313229801414
5,0.45,99,99,88,46,0.5227272727272727,6,0.13043478260869565,0.14954550930596217,0.6043478260869565,0.8722079533784797
5,0.5,1,1,88,22,0.25,6,0.2727272727272727,0.2270600534891682,0.6909090909090909,1.2011239693479727
5,0.5,2,1,88,25,0.2840909090909091,6,0.24,0.21786538793068755,0.696,1.1015976529339961
5,0.5,2,2,88,30,0.3409090909090909,5,0.16666666666666666,0.1957533631838664,0.66,0.851411510667741
5,0.5,99,99,88,33,0.375,6,0.18181818181818182,0.18694560461710388,0.6545454545454545,0.9725726485550495
5,0.55,1,1,88,19,0.2159090909090909,6,0.3157894736842105,0.2462460515585973,0.7368421052631579,1.282414364354039
5,0.55,2,1,88,21,0.23863636363636365,6,0.2857142857142857,0.24295756263615242,0.7428571428571429,1.1759843267038563
5,0.55,2,2,88,23,0.26136363636363635,5,0.21739130434782608,0.23295239935727924,0.7043478260869566,0.933200537739098
5,0.55,99,99,88,26,0.29545454545454547,6,0.23076923076923078,0.21906613700223243,0.7076923076923077,1.053422650927008
10,0.35,1,1,88,19,0.2159090909090909,0,0.0,0.03920854723369751,0.7052631578947368,0.0
10,0.35,2,1,88,23,0.26136363636363635,0,0.0,0.03326060763373608,0.6652173913043479,0.0
10,0.35,2,2,88,24,0.2727272727272727,0,0.0,0.033252611424111574,0.6666666666666666,0.0
10,0.35,99,99,88,44,0.5,0,0.0,0.018995753303480856,0.5977272727272728,0.0
10,0.45,1,1,88,17,0.19318181818181818,0,0.0,0.04350653785633945,0.7529411764705882,0.0
10,0.45,2,1,88,19,0.2159090909090909,0,0.0,0.03986174185141363,0.7105263157894737,0.0
10,0.45,2,2,88,20,0.22727272727272727,0,0.0,0.0392333507368561,0.705,0.0
10,0.45,99,99,88,24,0.2727272727272727,0,0.0,0.03388525739232062,0.6791666666666667,0.0
10,0.5,1,1,88,17,0.19318181818181818,0,0.0,0.04350653785633945,0.7529411764705882,0.0
10,0.5,2,1,88,18,0.20454545454545456,0,0.0,0.04167392682919461,0.7388888888888889,0.0
10,0.5,2,2,88,18,0.20454545454545456,0,0.0,0.04300873470662725,0.7444444444444445,0.0
10,0.5,99,99,88,19,0.2159090909090909,0,0.0,0.0415668178589756,0.7368421052631579,0.0
10,0.55,1,1,88,17,0.19318181818181818,0,0.0,0.04350653785633945,0.7529411764705882,0.0
10,0.55,2,1,88,17,0.19318181818181818,0,0.0,0.04357796788096905,0.7588235294117647,0.0
10,0.55,2,2,88,17,0.19318181818181818,0,0.0,0.04497266248321819,0.7588235294117647,0.0
10,0.55,99,99,88,17,0.19318181818181818,0,0.0,0.04498433729343068,0.7588235294117647,0.0
15,0.35,1,1,88,16,0.18181818181818182,0,0.0,0.00630100271152471,0.7125,0.0
15,0.35,2,1,88,19,0.2159090909090909,0,0.0,0.005395202577296007,0.6596491228070176,0.0
15,0.35,2,2,88,21,0.23863636363636365,0,0.0,0.005231031509788617,0.6412698412698413,0.0
15,0.35,99,99,88,29,0.32954545454545453,0,0.0,0.003839183537779913,0.6114942528735632,0.0
15,0.45,1,1,88,16,0.18181818181818182,0,0.0,0.00630100271152471,0.7125,0.0
15,0.45,2,1,88,17,0.19318181818181818,0,0.0,0.0060235328685459,0.7019607843137254,0.0
15,0.45,2,2,88,17,0.19318181818181818,0,0.0,0.006442847313027424,0.7058823529411765,0.0
15,0.45,99,99,88,19,0.2159090909090909,0,0.0,0.005835259816668041,0.6701754385964912,0.0
15,0.5,1,1,88,16,0.18181818181818182,0,0.0,0.00630100271152471,0.7125,0.0
15,0.5,2,1,88,16,0.18181818181818182,0,0.0,0.006376335068803715,0.7083333333333334,0.0
15,0.5,2,2,88,16,0.18181818181818182,0,0.0,0.006800432990962824,0.7083333333333334,0.0
