model,acc,auc,brier,logloss,ece
elo_plus_pitcher,0.5670230263157895,0.5915924095092523,0.24341885920177989,0.6798108016483875,0.010676549608214996
ML_extra_trees,0.561266447368421,0.5894419330709941,0.24371609996678376,0.680450065523749,0.008418742387847579
ENS_mean_of_4_models,0.5592105263157895,0.5890726798703481,0.24387292907764413,0.6807591080590443,0.01747248620394798
ML_random_forest,0.5608552631578947,0.5876939087449998,0.2438221564770803,0.6806928958645938,0.011674199535690977
elo_margin_of_victory,0.5629111842105263,0.5876417390267434,0.243985665618517,0.6809970294618126,0.013090028445691078
ENS_elo_x_ml_logistic,0.5629111842105263,0.5865536277602523,0.24408074208362862,0.681154617230845,0.015193349437514448
elo_basic,0.5649671052631579,0.5864784220625061,0.24419701116032802,0.6814357641835741,0.016785360315740426
ENS_stack_super_learner,0.5575657894736842,0.5846043773781261,0.2441490239331601,0.6812929109446241,0.010773066406546471
ML_logistic,0.5616776315789473,0.5834363177122291,0.2445354299183469,0.6819878918485818,0.018141079540418697
ML_xgboost,0.5645559210526315,0.5834315750105694,0.244895418583459,0.6830553418196934,0.01708488518029059
ML_logistic_L1,0.5596217105263158,0.5833590794280573,0.24438131538220556,0.6816440191598089,0.01856965640184077
glicko,0.555921052631579,0.5809470768697085,0.24466591353044906,0.682356349470729,0.010287756242681545
ML_hist_gbm,0.5575657894736842,0.5804894061595499,0.24479860500920325,0.6826649314810592,0.01098333995489257
run_differential,0.5579769736842105,0.5798952133944736,0.2459065343846816,0.6862163247742604,0.016015470706683074
pythagenpat,0.5546875,0.5793399785358874,0.2453797815195328,0.684139954589465,0.015882606361160404
pythagorean,0.555921052631579,0.5792041340097781,0.24536049165201115,0.6840734177155176,0.015898432732396425
ML_neural_net,0.5522203947368421,0.5749279109347729,0.24619181194925355,0.6868039450607393,0.03336961314642835
poisson_pitcher_adj,0.5513980263157895,0.574412989040294,0.2452781940950733,0.6835848015319747,0.012966642456083708
win_pct_log5,0.5501644736842105,0.5731748051427147,0.24539235315109814,0.6838073564370667,0.015311031438489574
colley,0.5444078947368421,0.5693742072912941,0.246236789203212,0.6855784508398106,0.010051324923632633
bradley_terry,0.5497532894736842,0.5692719004412068,0.24615596777629536,0.6854227660978301,0.006010069187581118
ML_lightgbm,0.545641447368421,0.568748170672217,0.24744454841022162,0.6884518763064887,0.03932147224335345
bayes_hierarchical,0.548108552631579,0.5675845149435754,0.24632171415326523,0.6857524864577341,0.01740395472891539
massey,0.5460526315789473,0.5671674959619283,0.2464046445638188,0.6859091629204102,0.009860087058404762
negative_binomial,0.5485197368421053,0.5642276984617386,0.24638458042952235,0.6858443127044778,0.01425997265404909
poisson_skellam,0.5509868421052632,0.5640860949407569,0.24646564090963188,0.6860154931683826,0.011910133942325034
dixon_coles,0.5509868421052632,0.5640833848255228,0.2464656837851116,0.6860155824666709,0.011910365871391958
kalman_state_space,0.5493421052631579,0.563857767732284,0.24632072901685556,0.6856951651677528,0.013975894752719608
starter_plus_offense,0.5394736842105263,0.5636755124827908,0.24657281766212055,0.686223033679563,0.012320962609971826
starter_quality_only,0.5365953947368421,0.5576041768295988,0.24714055438323987,0.6873809133702821,0.013413630617249622
recent_form_10,0.5345394736842105,0.543473974763407,0.2481539617097574,0.6894549896336951,0.008980773289177096
head_to_head,0.5160361842105263,0.5401195296324,0.24886437933970104,0.6908659913365099,0.015282460364159561
rest_advantage,0.5226151315789473,0.5044273119993062,0.24941090505972383,0.6918116786269186,0.00919907363585756
always_home,0.5213815789473685,0.5,0.24962772410124603,0.6924028692323524,0.009213903598832673
streak_momentum,0.5164473684210527,0.4991280204234284,0.2504179679013416,0.6940045074535705,0.017010432539460125
