model,acc,auc,brier,logloss,ece,test_season
win_pct_log5,0.5469839967172754,0.5804915962304479,0.244713051976391,0.6824235611534463,0.022992913970449037,2023
pythagorean,0.5482150184653263,0.5746249473752388,0.2462109658849656,0.6860222994119181,0.02164415468152122,2023
pythagenpat,0.5437012720558063,0.5749943327180285,0.24605644642189362,0.6856546602542561,0.02247487158910723,2023
run_differential,0.5445219532211736,0.575638311365869,0.24583530210996563,0.6851929463225245,0.02156647448709598,2023
recent_form_10,0.5301600328272467,0.5418464679339788,0.24860295669817267,0.6903843180098097,0.016112905497522183,2023
elo_basic,0.5613459171112023,0.5857587950818788,0.24483529887065095,0.6828326331759954,0.025926129260926585,2023
elo_margin_of_victory,0.5601148953631514,0.5893386281939182,0.2442083650368435,0.6814932728692087,0.027463940314537204,2023
elo_plus_pitcher,0.560525235945835,0.5877355970076751,0.24433299185085397,0.6816698784423919,0.02563704774777975,2023
glicko,0.5527287648748461,0.5863410408368147,0.24405769840380354,0.6810860003937371,0.021403988334734024,2023
bradley_terry,0.5424702503077554,0.5626420193875018,0.24707926497814123,0.687295832740248,0.021325017808108644,2023
massey,0.5424702503077554,0.5680387561125684,0.24632935733089306,0.6857482006117397,0.019427483428308003,2023
colley,0.5449322938038572,0.5626838493258634,0.24692323230845892,0.6869569167846707,0.01681616474477109,2023
kalman_state_space,0.5527287648748461,0.5746522717704589,0.24573520781834998,0.68457571412392,0.0193723454509428,2023
bayes_hierarchical,0.5486253590480098,0.5663375595064607,0.24675639007613137,0.6866528285268816,0.019916627857115454,2023
poisson_skellam,0.5531391054575298,0.5706156827185682,0.24619415124752048,0.6854966683082084,0.01757634339154172,2023
dixon_coles,0.5531391054575298,0.5706177067478437,0.246194459955415,0.6854973317720564,0.01757555433439542,2023
negative_binomial,0.553959786622897,0.5702709230652979,0.24621207161420397,0.6855368862182308,0.01687569899223995,2023
starter_quality_only,0.5359048009848174,0.5436731543551713,0.2483781514127177,0.6898905890660735,0.01638109818713319,2023
starter_plus_offense,0.5342634386540829,0.5509772013342401,0.24785029395588465,0.6888230395227506,0.01694312116710814,2023
poisson_pitcher_adj,0.5531391054575298,0.5728144531882509,0.24594416397630642,0.6849756998797751,0.01849391620648715,2023
rest_advantage,0.5207221994255232,0.5150021049904466,0.2497556436012411,0.6926595485593818,0.014883219794340485,2023
streak_momentum,0.5248256052523594,0.5295093348230189,0.24933179675539963,0.6918107778385816,0.01597098730803121,2023
head_to_head,0.5170291341813705,0.5209055237108283,0.24969291603804933,0.6925434451901519,0.021265534288224013,2023
SHIPPED_elo_v2,0.5654493229380386,0.5850240724548507,0.24437570339618228,0.6817689919725282,0.018757886789477672,2023
