model,acc,auc,brier,logloss,ece
elo_plus_pitcher,0.5615495615495616,0.5813267266963846,0.24406300843540218,0.681067190947385,0.00984228706831281
AGG_diverse_families,0.5571095571095571,0.5804805969502947,0.2442030421575946,0.6813960812891566,0.00814714173828709
AGG_logit_mean_top3,0.5616605616605617,0.5799108916676117,0.2443001586189429,0.6815740829575343,0.010248233847487615
AGG_shipped_elo_x_bestML,0.5606615606615607,0.5798611629461905,0.24420420883725769,0.6813905196626125,0.004182268527677109
AGG_logit_mean_top5,0.5617715617715617,0.5797780181058023,0.24422834950204783,0.6814241019747603,0.0069778740101508205
SHIPPED_elo_v2,0.5644355644355644,0.5794314988839708,0.24432836326736282,0.6816425327932377,0.00511178500415117
elo_margin_of_victory,0.5603285603285604,0.5794189925554225,0.24440918262650507,0.681810426030069,0.01326869448756673
AGG_bayesian_model_avg,0.5577755577755578,0.5793052986595292,0.24430117864189815,0.6815928775260174,0.009054934703735789
AGG_nnls_weights_top10,0.5563325563325563,0.5790876489970864,0.24417048352862603,0.6812783885053083,0.010902326488025263
AGG_ridge_stack_top10,0.5564435564435565,0.5789237320584854,0.24430023279414148,0.6815502632543323,0.013131395924181928
AGG_logit_mean_all,0.5573315573315574,0.5787341598451153,0.24445048362330166,0.6818985897170906,0.010800292471037662
AGG_trimmed_mean_all,0.5576645576645577,0.578731243349525,0.2444951397653709,0.682000177966145,0.011143979921316828
AGG_inv_logloss_weighted,0.5568875568875569,0.5786550684392764,0.24452001870981,0.6820527365658511,0.011228419364239127
AGG_rank_mean_all,0.5584415584415584,0.5786521519436861,0.26889790472026665,0.7483984743138389,0.13165534554756492
AGG_mean_prob_all,0.5567765567765568,0.5786350978593021,0.24452414754569493,0.6820611827725868,0.011158444234742753
ML_extra_trees,0.5575535575535575,0.5785052396573405,0.2443811182909816,0.681754715448324,0.0058995166609132925
AGG_median_all,0.5573315573315574,0.578025723293378,0.2445407046767334,0.6820897821818668,0.010700507093150315
AGG_logistic_stack_top10,0.5595515595515596,0.5778419099229957,0.24457063111497274,0.6821498176689393,0.012266855808904575
AGG_logit_mean_top10,0.5566655566655566,0.5770901461104972,0.24442054759713833,0.6818092680890651,0.008167571470398304
elo_basic,0.5588855588855589,0.5764064009070202,0.24491764768385016,0.6828706470866025,0.01432288834601074
ML_random_forest,0.5562215562215562,0.5760215223533569,0.24484688586459744,0.6827044867741096,0.015680173387733486
ML_logistic,0.5555555555555556,0.5742305469002644,0.24505064481427227,0.6830127854443883,0.018034952851012417
glicko,0.5522255522255523,0.570706184423956,0.2451312651479733,0.6832551296017321,0.006534286068255574
ML_hist_gbm,0.5543345543345544,0.5689250706805291,0.2457519544778082,0.6845760255648078,0.016135205933792997
massey,0.5492285492285492,0.5675428494992377,0.24581951429366697,0.6847204028258232,0.008521380790185358
bayes_hierarchical,0.5511155511155511,0.567417934510141,0.24585106339204282,0.6847904995852095,0.008078674821597732
kalman_state_space,0.5495615495615496,0.565483334007258,0.24585100992650546,0.6847427500313349,0.013941929830479658
bradley_terry,0.5484515484515484,0.5654136594219269,0.2460491876027094,0.6851930475944318,0.006572318064912664
colley,0.5507825507825508,0.5653807376242465,0.24603627565187725,0.6851619905265055,0.007862045350094604
poisson_pitcher_adj,0.5498945498945499,0.5649562392194707,0.24594434592121583,0.6849524869257918,0.005990119278252971
ML_xgboost,0.5523365523365523,0.5641062290512818,0.24770924267009456,0.6888191422666928,0.02923591944231602
poisson_skellam,0.5496725496725496,0.5635833112783653,0.24620589780414914,0.6854843676237004,0.013833516652077353
dixon_coles,0.5496725496725496,0.5635831135498507,0.24620601284042642,0.6854846145205734,0.0138336749801187
negative_binomial,0.5487845487845487,0.5635297268509094,0.2461633931793713,0.6853949034187212,0.01330103687931494
win_pct_log5,0.5464535464535465,0.5621006687277228,0.2460508650369749,0.6851182182493815,0.015589415106930965
run_differential,0.5475635475635475,0.5617816584854846,0.24688194178205836,0.6875478348753867,0.010772776688836687
pythagenpat,0.5467865467865468,0.5616896652940683,0.24681228348159895,0.6870509249732613,0.014685385868108053
pythagorean,0.5478965478965478,0.5615899359745183,0.24686052450141943,0.6871693189997804,0.01236233100649276
ML_neural_net,0.5468975468975469,0.561571720235111,0.24815666224798621,0.6901690928734354,0.03661446159433854
ML_lightgbm,0.5470085470085471,0.5609062154871057,0.24922177040716856,0.6922413566655617,0.040520585434448586
starter_plus_offense,0.5384615384615384,0.5538704417521949,0.24698287007625086,0.6870654180804073,0.010697188011233474
starter_quality_only,0.5395715395715396,0.5486525345483618,0.2474307226052027,0.6879774486122625,0.005413832620512994
recent_form_10,0.5334665334665335,0.5398547525877472,0.24819881075594674,0.6895465769373013,0.008764350082853228
head_to_head,0.5269175269175269,0.5312427118505323,0.24872681092076582,0.6905974111095553,0.005669871756367378
streak_momentum,0.528915528915529,0.5166253348161653,0.24917566693078197,0.6914999976170009,0.005566764471489455
rest_advantage,0.5279165279165279,0.492375316600426,0.24925974258012032,0.6915815321917647,0.003971185689803021
