kind,market,dropped,auc,delta
batter,h1,(nothing — full model),0.5696070726309299,0.0
batter,h1,season rates,0.5688789555316633,-0.0007281170992665675
batter,h1,last 30 days,0.5691201699777914,-0.0004869026531385545
batter,h1,prior season,0.569413494863499,-0.00019357776743089694
batter,h1,lineup slot,0.5655668478498864,-0.004040224781043489
batter,h1,playing time,0.5696831038102853,7.603117935539583e-05
batter,h1,park + home,0.567896125334409,-0.0017109472965208816
batter,h1,team context,0.5694507504144509,-0.00015632221647898792
batter,h1,opposing starter,0.5662750355504701,-0.0033320370804598154
batter,h1,own prop rate,0.5698464802784104,0.00023940764748053844
batter,h2,(nothing — full model),0.5892545201844483,0.0
batter,h2,season rates,0.5875150005062114,-0.0017395196782369338
batter,h2,last 30 days,0.5880473031649801,-0.001207217019468243
batter,h2,prior season,0.5897270399046907,0.0004725197202423148
batter,h2,lineup slot,0.5851635168414481,-0.004091003343000277
batter,h2,playing time,0.5894897713480247,0.00023525116357636655
batter,h2,park + home,0.587145913943125,-0.002108606241323363
batter,h2,team context,0.5893407476769751,8.62274925267359e-05
batter,h2,opposing starter,0.5826601183371947,-0.006594401847253684
batter,h2,own prop rate,0.5892847425318775,3.0222347429109675e-05
batter,tb2,(nothing — full model),0.5754693302751533,0.0
batter,tb2,season rates,0.5747353568148738,-0.0007339734602795911
batter,tb2,last 30 days,0.574853939167296,-0.0006153911078573548
batter,tb2,prior season,0.5752205027456229,-0.00024882752953048204
batter,tb2,lineup slot,0.5715168783894876,-0.003952451885665731
batter,tb2,playing time,0.575300483192776,-0.00016884708237729917
batter,tb2,park + home,0.5732239155933658,-0.0022454146817875165
batter,tb2,team context,0.5759240425569769,0.00045471228182358825
batter,tb2,opposing starter,0.5700191349249795,-0.005450195350173881
batter,tb2,own prop rate,0.5753403307809101,-0.00012899949424327595
batter,hr1,(nothing — full model),0.6177963852820185,0.0
batter,hr1,season rates,0.6159817115869937,-0.0018146736950248599
batter,hr1,last 30 days,0.6179375847066798,0.00014119942466128688
batter,hr1,prior season,0.6176984639947186,-9.79212872999069e-05
batter,hr1,lineup slot,0.6132966876464304,-0.004499697635588107
batter,hr1,playing time,0.6185340731020911,0.0007376878200725523
batter,hr1,park + home,0.6173699801782742,-0.000426405103744365
batter,hr1,team context,0.6178096991877119,1.3313905693368433e-05
batter,hr1,opposing starter,0.613245476243067,-0.0045509090389515006
batter,hr1,own prop rate,0.6175740737731882,-0.00022231150883034179
batter,rbi1,(nothing — full model),0.5602612811074466,0.0
batter,rbi1,season rates,0.5592988762564056,-0.0009624048510409322
batter,rbi1,last 30 days,0.559644043259369,-0.0006172378480775453
batter,rbi1,prior season,0.5606633675069378,0.0004020863994912416
batter,rbi1,lineup slot,0.5588747501310145,-0.0013865309764320433
batter,rbi1,playing time,0.5608506267252859,0.0005893456178392986
batter,rbi1,park + home,0.5587097555337285,-0.001551525573718071
batter,rbi1,team context,0.5599969037689291,-0.00026437733851747414
batter,rbi1,opposing starter,0.5547014595173018,-0.005559821590144787
batter,rbi1,own prop rate,0.560266343863657,5.0627562104832435e-06
batter,r1,(nothing — full model),0.5727117779146497,0.0
batter,r1,season rates,0.5728712074785717,0.0001594295639220089
batter,r1,last 30 days,0.5721143327228629,-0.0005974451917867274
batter,r1,prior season,0.5728603055638583,0.0001485276492085852
batter,r1,lineup slot,0.5673406389702947,-0.005371138944354925
batter,r1,playing time,0.5725975956722926,-0.00011418224235704155
batter,r1,park + home,0.5713245357506899,-0.001387242163959801
batter,r1,team context,0.5734874581278043,0.0007756802131546614
batter,r1,opposing starter,0.5689690727556297,-0.0037427051590199767
batter,r1,own prop rate,0.5727063430775725,-5.434837077156196e-06
batter,sb1,(nothing — full model),0.7155426754653653,0.0
batter,sb1,season rates,0.71665809612847,0.0011154206631046604
batter,sb1,last 30 days,0.7153518877809211,-0.0001907876844442491
batter,sb1,prior season,0.7166587718607851,0.0011160963954197634
batter,sb1,lineup slot,0.7156459380325726,0.000103262567207274
batter,sb1,playing time,0.714887855287159,-0.0006548201782062835
batter,sb1,park + home,0.7155596754678193,1.700000245397071e-05
batter,sb1,team context,0.7155562968062437,1.3621340878344768e-05
batter,sb1,opposing starter,0.7151772109774636,-0.00036546448790175656
batter,sb1,own prop rate,0.7084827131491782,-0.007059962316187107
pitcher,k5,(nothing — full model),0.6999748440403845,0.0
pitcher,k5,season rates,0.6962784581376963,-0.0036963859026881707
pitcher,k5,workload,0.6983983794574821,-0.0015764645829023927
pitcher,k5,last 30 days,0.6958112760305509,-0.004163568009833529
pitcher,k5,prior season,0.7004170902108847,0.00044224617050026005
pitcher,k5,rest + home + park,0.6965120491912689,-0.0034627948491156024
pitcher,k5,opposing lineup,0.6928167634034327,-0.00715808063695178
pitcher,k5,own prop rate,0.7001875329117693,0.00021268887138481407
pitcher,k6,(nothing — full model),0.707796623341299,0.0
pitcher,k6,season rates,0.7015620842963285,-0.006234539044970511
pitcher,k6,workload,0.7063842964474943,-0.0014123268938046607
pitcher,k6,last 30 days,0.7024867182986735,-0.005309905042625518
pitcher,k6,prior season,0.7084607579699129,0.0006641346286139216
pitcher,k6,rest + home + park,0.7063133232543469,-0.0014833000869520774
pitcher,k6,opposing lineup,0.7021183713912212,-0.005678251950077762
pitcher,k6,own prop rate,0.709720036525422,0.001923413184123035
pitcher,k7,(nothing — full model),0.7212757527733756,0.0
pitcher,k7,season rates,0.7181579909789102,-0.0031177617944654346
pitcher,k7,workload,0.7204843756349303,-0.0007913771384453483
pitcher,k7,last 30 days,0.714384981104474,-0.0068907716689016185
pitcher,k7,prior season,0.722585233044821,0.0013094802714453957
pitcher,k7,rest + home + park,0.7191083546669917,-0.0021673981063838887
pitcher,k7,opposing lineup,0.7141584379698485,-0.007117314803527175
pitcher,k7,own prop rate,0.7215612174407737,0.0002854646673980943
pitcher,outs16,(nothing — full model),0.6841346605039651,0.0
pitcher,outs16,season rates,0.680925856951809,-0.0032088035521561364
pitcher,outs16,workload,0.685091472713622,0.000956812209656932
pitcher,outs16,last 30 days,0.6756589906620993,-0.008475669841865763
pitcher,outs16,prior season,0.6846537586223077,0.0005190981183426091
pitcher,outs16,rest + home + park,0.6801985330345831,-0.003936127469381989
pitcher,outs16,opposing lineup,0.6832112084134954,-0.0009234520904697341
pitcher,outs16,own prop rate,0.683966026934447,-0.00016863356951812847
