auc,logloss,brier,cal,base,top5,top10,p60,n60,p70,n70,market,model,top3,top1
0.5119447689353739,0.6887136657464801,0.24777971982250602,0.5554133165328866,0.5500963391136802,0.5796915167095116,0.56640625,0.5881006864988558,437,,0,r4,base_r_pg,0.5714285714285714,0.5796178343949044
0.5407714779660763,0.6856685790239562,0.2462849106701521,0.559882733576199,0.5500963391136802,0.6079691516709511,0.5865885416666666,0.6078947368421053,760,,16,r4,poisson_napkin,0.6076759061833689,0.5732484076433121
0.5552036417570136,0.68466986595282,0.24569278659867672,0.5567200257172015,0.5500963391136802,0.5989717223650386,0.5891927083333334,0.5895795246800731,1094,0.6647727272727273,176,r4,logistic,0.6140724946695096,0.6050955414012739
0.5551745782034598,0.6845385188784979,0.24563591287679085,0.5560762021611879,0.5500963391136802,0.6079691516709511,0.5911458333333334,0.5891181988742964,1066,0.6686390532544378,169,r4,logistic L1,0.6119402985074627,0.6050955414012739
0.5552036417570136,0.6846751774961836,0.2456951720411495,0.5566881822387648,0.5500963391136802,0.5989717223650386,0.5891927083333334,0.5895795246800731,1094,0.6647727272727273,176,r4,logistic + platt,0.6140724946695096,0.6050955414012739
0.544234494125412,0.6914376817383254,0.2481287117604856,0.5654886439245097,0.5500963391136802,0.6041131105398457,0.5833333333333334,0.5922865013774105,726,0.6172839506172839,243,r4,gaussian NB,0.605543710021322,0.5796178343949044
0.5451598401692062,0.684679201791097,0.24576843677358318,0.5568927339892378,0.5500963391136802,0.6015424164524421,0.5865885416666666,0.5949227373068433,906,0.6140350877192983,57,r4,random forest,0.6289978678038379,0.6114649681528662
0.5524733084074298,0.6836521975729454,0.24528798997668305,0.5545662710676018,0.5500963391136802,0.6105398457583547,0.5944010416666666,0.6407407407407407,540,,1,r4,extra trees,0.6332622601279317,0.6305732484076433
0.5286179905271566,0.6969256254944914,0.25119339536872815,0.5690717046669531,0.5500963391136802,0.5809768637532133,0.578125,0.5669064748201439,1390,0.6042944785276073,326,r4,hist-GBM,0.5692963752665245,0.5605095541401274
0.5398488273324908,0.6862562866495133,0.2465233369033866,0.5587961731154094,0.5500963391136802,0.589974293059126,0.5774739583333334,0.6,1000,0.6639344262295082,122,r4,gradient boosting,0.6098081023454158,0.6178343949044586
0.5495407021004511,0.6836713586254696,0.24529286488439306,0.5529250963391137,0.5500963391136802,0.6131105398457584,0.5755208333333334,0.6146540027137042,737,0.6,30,r4,kNN (k=200),0.6396588486140725,0.6050955414012739
0.554620964384959,0.6891619281244834,0.2476017166725202,0.5521704247538202,0.5500963391136802,0.6131105398457584,0.5891927083333334,0.5971524288107203,1194,0.6111111111111112,270,r4,MLP (neural net),0.6162046908315565,0.6560509554140127
0.5537971063951068,0.6833612163488632,0.24513283478433515,0.5562283956568619,0.5500963391136802,0.5989717223650386,0.5924479166666666,0.6043689320388349,824,0.6491228070175439,57,r4,STACK,0.6247334754797441,0.6114649681528662
0.5056541249258106,0.6845587367333323,0.24569762005913293,0.42558030732247143,0.4301541425818882,0.4652956298200514,0.4498697916666667,,0,,0,r5,base_r_pg,0.4520255863539446,0.4713375796178344
0.5401828015209874,0.6810073173810574,0.24394984036682385,0.4309948147321462,0.4301541425818882,0.4845758354755784,0.4700520833333333,,9,,0,r5,poisson_napkin,0.4946695095948827,0.4840764331210191
0.5517458035116748,0.6801502919281435,0.24358453776863895,0.42587399395874614,0.4301541425818882,0.48586118251928023,0.4615885416666667,0.5849056603773585,106,,7,r5,logistic,0.5373134328358209,0.5605095541401274
0.5516866413799828,0.6799827746781165,0.24350619820938543,0.42607499674516247,0.4301541425818882,0.487146529562982,0.4583333333333333,0.5882352941176471,102,,6,r5,logistic L1,0.5415778251599147,0.554140127388535
0.5517458035116748,0.6801552242834414,0.2435869089775589,0.42589291131002793,0.4301541425818882,0.48586118251928023,0.4615885416666667,0.5849056603773585,106,,7,r5,logistic + platt,0.5373134328358209,0.5605095541401274
0.5424341572803972,0.6867086418219197,0.2463361130901652,0.4354364787678986,0.4301541425818882,0.4897172236503856,0.462890625,0.5188679245283019,212,0.4482758620689655,87,r5,gaussian NB,0.5010660980810234,0.4840764331210191
0.5484038530166534,0.6793679608188914,0.24319814913803134,0.42825157720618623,0.4301541425818882,0.4922879177377892,0.45703125,,23,,0,r5,random forest,0.5287846481876333,0.5859872611464968
0.5494484196138085,0.678876156490595,0.2429357205850782,0.42275183236275904,0.4301541425818882,0.5012853470437018,0.47265625,,2,,0,r5,extra trees,0.5415778251599147,0.5605095541401274
0.5373769782633595,0.6888972631596466,0.24752440638428466,0.4272908712135031,0.4301541425818882,0.4820051413881748,0.4609375,0.5647058823529412,170,,20,r5,hist-GBM,0.4989339019189765,0.5031847133757962
0.5535795929456021,0.6793569311123379,0.24318391773209153,0.42937976074405115,0.4301541425818882,0.4832904884318766,0.4700520833333333,0.5657894736842105,76,,3,r5,gradient boosting,0.5053304904051172,0.535031847133758
0.5437582057876656,0.6803553417481547,0.24365396194605013,0.4217365125240848,0.4301541425818882,0.480719794344473,0.4641927083333333,,4,,0,r5,kNN (k=200),0.5181236673773987,0.554140127388535
0.5536995737486736,0.687185491168836,0.24661551857965924,0.42823932111992286,0.4301541425818882,0.4910025706940874,0.4759114583333333,0.47706422018348627,218,0.5714285714285714,35,r5,MLP (neural net),0.4989339019189765,0.5414012738853503
0.5513333251295177,0.678624919983167,0.2428285567766437,0.4248885190471567,0.4301541425818882,0.4781491002570694,0.4635416666666667,0.5151515151515151,33,,0,r5,STACK,0.5223880597014925,0.5796178343949044
0.5030711889932314,0.6311736901555522,0.21957109433328326,0.3143001607626483,0.3241811175337187,0.36632390745501286,0.3365885416666667,,0,,0,r6,base_r_pg,0.3582089552238806,0.35668789808917195
