model,family,auc,logloss,brier,ece,top1,top1_n,secs
baseline: rank by scoring rate,heuristic,0.6388373628334374,0.3238733603317704,0.08866728557179286,0.1745170189116051,0.1362126245847176,301,0.1
baseline: rank by carry share,heuristic,0.5900965295744491,0.4176338331752951,0.06755361958504857,0.08077645124473286,0.14285714285714285,301,0.1
baseline: rank by touches,heuristic,0.6754643589972343,,,,0.14950166112956811,301,0.1
baseline: expected TDs (no fit),heuristic,0.6671806583995004,0.31162160735097044,0.0870806568120797,0.1607794477069647,0.1362126245847176,301,0.1
control: random,heuristic,0.4824601659380855,0.2020717430788275,0.04858866767067922,0.0008644839509178021,0.06312292358803986,301,0.1
logistic L2 (shipped),linear,0.6855012936033544,0.19080889704647586,0.04724726312939213,0.002833971238946227,0.15614617940199335,301,0.2
logistic L1,linear,0.6857939156035329,0.19079015794368753,0.047246105684534356,0.0026288093557348883,0.15614617940199335,301,0.3
logistic elastic-net,linear,0.6857760727986439,0.19079057762183982,0.04724599845168901,0.002703007265626872,0.15614617940199335,301,0.3
linear discriminant,linear,0.6845135159247036,0.1939456169125685,0.04827508059098016,0.013558266441903173,0.15614617940199335,301,0.2
gaussian naive bayes,linear,0.6770930502274957,0.6486812942259521,0.11930483638054633,0.12291928259070042,0.1362126245847176,301,0.1
ridge classifier,linear,0.6845113747881167,,,,0.15614617940199335,301,0.1
k-nearest neighbours (k=200),nonlinear,0.6638529752877154,0.2012571793572073,0.047615734078218806,0.00525511452513966,0.1461794019933555,301,0.4
decision tree (depth 6),nonlinear,0.6454242126862343,0.21002748608626068,0.04908027862949893,0.010019226407267547,0.12624584717607973,301,0.2
random forest,nonlinear,0.6653846016593808,0.19457955447820152,0.0477600174215261,0.005899056974504148,0.1461794019933555,301,2.8
extra trees,nonlinear,0.6786318137211169,0.19219578060308476,0.04738500810282971,0.0012679690076756209,0.15282392026578073,301,1.1
hist gradient boosting,nonlinear,0.6660979569988401,0.194707173377513,0.04796561787953622,0.005982217026468114,0.11960132890365449,301,0.3
adaboost,nonlinear,0.6787627799090017,0.38062127353204694,0.1031362318050481,0.23602128961510838,0.14950166112956811,301,4.0
"neural net (64,32)",nonlinear,0.641573021679008,0.19838427822654145,0.048349100146667795,0.008387384235528358,0.11960132890365449,301,0.8
poisson rate -> P(>=1),reformulated,0.680818627888304,0.30577044047870194,0.08034178881862235,0.16357173777697176,0.16279069767441862,301,0.3
hierarchical team x share,reformulated,0.6809456686591133,0.2946275571692548,0.07729743378902337,0.15350752710764415,0.15614617940199335,301,1.0
within-game pairwise ranker,reformulated,0.681816397537693,,,,0.15282392026578073,301,0.2
ordinal 0/1/2+,reformulated,0.6814367026496566,0.30677834733457837,0.08163094187633302,0.1634068024673825,0.15946843853820597,301,0.6
stack: logistic+boost+poisson,reformulated,0.6789558390578999,0.1922548289124328,0.04749847060402776,0.003406493770035135,0.15614617940199335,301,2.2
calibrated boosting (isotonic),nonlinear,0.6777196895351949,0.19238983596957318,0.04752176249683998,0.0030920972238461107,0.1461794019933555,301,0.5
