model,family,auc,logloss,brier,ece,top1,top1_n,parlay5,parlay5_n,secs
baseline: rank by scoring rate,heuristic,0.6396507936507938,0.5085698282350001,0.16469600382370952,0.029799704348986402,0.43521594684385384,301,0.0,1,0.2
baseline: rank by carry share,heuristic,0.5730696988196988,1.5319202546202302,0.18957950636141035,0.15195646095294643,0.4418604651162791,301,0.0,18,0.2
baseline: rank by touches,heuristic,0.6808843101343102,,,,0.44518272425249167,301,0.0,19,0.2
baseline: expected TDs (no fit),heuristic,0.681443426943427,0.49388607635812837,0.15943787632107775,0.03073599637731218,0.4186046511627907,301,0.07692307692307693,13,0.2
control: random,heuristic,0.4984129019129019,0.5242684701613267,0.1704270987387874,0.004520207980556218,0.23255813953488372,301,,0,0.2
logistic L2 (shipped),linear,0.687506105006105,0.4865436661900209,0.15709089846933824,0.017907954029423776,0.4485049833887043,301,0.0,15,0.2
logistic L1,linear,0.6874332519332519,0.48658712040001145,0.1571065691961338,0.016585167592498867,0.4485049833887043,301,0.0,15,1.5
logistic elastic-net,linear,0.687438542938543,0.4865850501720701,0.15710586750057248,0.01656407441019393,0.4485049833887043,301,0.0,15,0.7
linear discriminant,linear,0.6877484737484738,0.4891354489071953,0.15825481289211854,0.028608316075781834,0.44518272425249167,301,0.0,19,0.2
gaussian naive bayes,linear,0.6824770044770045,1.0374669678261774,0.22254087774018685,0.19110510951489185,0.45514950166112955,301,0.0,19,0.2
ridge classifier,linear,0.6877503052503052,,,,0.44518272425249167,301,0.0,19,0.2
k-nearest neighbours (k=200),nonlinear,0.6818869556369558,0.4886390044836971,0.1578846368715084,0.01650837988826818,0.43853820598006643,301,0.0,2,0.5
decision tree (depth 6),nonlinear,0.661984940984941,0.5225148808171289,0.1627326471391649,0.025263833795327807,0.40863787375415284,301,0.05263157894736842,19,0.3
random forest,nonlinear,0.6847486772486773,0.48739354486995623,0.15762270987168697,0.011471262873839748,0.48172757475083056,301,0.0,4,3.0
extra trees,nonlinear,0.6882385022385022,0.4861063093638937,0.15705443327058016,0.014350463005417523,0.4684385382059801,301,,0,1.4
hist gradient boosting,nonlinear,0.6813778998778998,0.4892112652885373,0.15833211221123136,0.0175977151828209,0.4950166112956811,301,0.0,5,0.5
adaboost,nonlinear,0.6799908424908424,0.5654659355972912,0.18799273505535316,0.1670515142317427,0.4684385382059801,301,,0,4.5
"neural net (64,32)",nonlinear,0.6826029711029712,0.48878441790569893,0.15779251444220713,0.01705097156307112,0.4883720930232558,301,,0,2.3
poisson rate -> P(>=1),reformulated,0.687061864061864,0.48705920190354973,0.15717341710887123,0.019834406360423405,0.4485049833887043,301,0.0,14,0.3
hierarchical team x share,reformulated,0.6895195360195361,0.4851029901888367,0.1565119038126332,0.015821049334928564,0.46179401993355484,301,0.0,1,0.8
within-game pairwise ranker,reformulated,0.6745164835164835,,,,0.4850498338870432,301,0.10526315789473684,19,0.3
ordinal 0/1/2+,reformulated,0.6874798534798534,0.48681259046841563,0.15718638752001188,0.01894494914623095,0.4485049833887043,301,0.0,15,0.6
stack: logistic+boost+poisson,reformulated,0.6868009768009768,0.4891892730643528,0.15799411898292082,0.017892379909687096,0.45182724252491696,301,0.0,16,2.6
calibrated boosting (isotonic),nonlinear,0.6845617623117624,0.48716481890950636,0.15740955105803953,0.009106379350145369,0.45514950166112955,301,,0,1.0
