game_id,season,week,top1_id,top1_p,top1_conf,top1_hit,top2_hit,vol_top1_hit,n_scorers,n_scorers_covered,recall_at2,recall_at3
2022_01_BUF_LA,2022,1,4243537,0.5213621713167688,58.6,1,1,0,5,4,0.2,0.2
2022_01_BAL_NYJ,2022,1,4372414,0.3824311950596596,42.9,0,0,0,3,3,0.0,0.0
2022_01_CLE_CAR,2022,1,2976499,0.434450804353145,41.2,0,0,1,4,4,0.0,0.25
2022_01_GB_MIN,2022,1,3042519,0.541727239163559,74.3,0,1,0,2,2,0.5,1.0
2022_01_IND_HOU,2022,1,4242335,0.5757046514966699,95.0,1,1,1,3,3,0.6666666666666666,0.6666666666666666
2022_01_JAX_WAS,2022,1,4052042,0.34572282504186236,77.2,1,1,1,4,1,0.25,0.25
2022_01_KC_ARI,2022,1,15847,0.5793462106612406,50.1,1,1,1,7,5,0.2857142857142857,0.42857142857142855
2022_01_LV_LAC,2022,1,3068267,0.6051632876967528,84.0,0,0,0,5,4,0.0,0.0
2022_01_NE_MIA,2022,1,3925347,0.5965196673983262,89.2,0,0,0,2,2,0.0,0.0
2022_01_NO_ATL,2022,1,3054850,0.4669854677185534,65.9,0,1,0,4,3,0.25,0.25
2022_01_NYG_TEN,2022,1,3043078,0.4549663216537847,80.9,0,0,0,4,3,0.0,0.25
2022_01_PHI_DET,2022,1,4259545,0.4859821082721363,56.7,1,1,1,8,8,0.25,0.375
2022_01_PIT_CIN,2022,1,4362628,0.5122826087875447,61.4,1,1,0,3,3,0.3333333333333333,0.3333333333333333
2022_01_SF_CHI,2022,1,3126486,0.4018303043119059,68.3,1,1,0,4,4,0.25,0.25
2022_01_TB_DAL,2022,1,3115364,0.7309902636848727,100.0,0,0,0,1,1,0.0,0.0
2022_01_DEN_SEA,2022,1,2576434,0.5340697600031964,56.7,0,0,0,3,3,0.0,0.0
2022_02_LAC_KC,2022,2,15847,0.6334078765591526,50.0,0,0,0,5,4,0.0,0.0
2022_02_ARI_LV,2022,2,16800,0.5338646804199982,63.0,1,1,0,5,5,0.2,0.2
2022_02_ATL_LA,2022,2,15807,0.5105031104008804,95.7,0,0,0,5,2,0.0,0.2
2022_02_CAR_NYG,2022,2,3929630,0.4129008239293711,57.2,0,0,0,2,1,0.0,0.0
2022_02_CHI_GB,2022,2,4040655,0.4391628983490564,55.2,0,0,0,3,3,0.0,0.3333333333333333
2022_02_CIN_DAL,2022,2,3117256,0.3979730436277529,47.0,0,0,0,3,3,0.0,0.0
2022_02_HOU_DEN,2022,2,2576434,0.4625264264030323,65.4,0,0,0,1,0,0.0,0.0
2022_02_IND_JAX,2022,2,4242335,0.5440543408148004,100.0,0,1,0,2,2,0.5,1.0
2022_02_MIA_BAL,2022,2,3116365,0.289444605025583,43.7,1,1,0,8,7,0.25,0.25
2022_02_NE_PIT,2022,2,3932905,0.4188181815485853,55.7,0,1,0,3,3,0.3333333333333333,0.6666666666666666
2022_02_NYJ_CLE,2022,2,2976499,0.44670918287636596,51.0,1,1,1,5,5,0.2,0.4
2022_02_SEA_SF,2022,2,3126486,0.46048120265975245,64.0,0,0,0,3,2,0.0,0.0
2022_02_TB_NO,2022,2,3115364,0.593928712811852,100.0,0,0,0,2,2,0.0,0.5
2022_02_WAS_DET,2022,2,4259545,0.4716796765437111,66.6,1,1,1,7,3,0.14285714285714285,0.14285714285714285
2022_02_MIN_PHI,2022,2,4262921,0.5124270470255783,65.5,0,0,0,3,3,0.0,0.0
2022_02_TEN_BUF,2022,2,2976212,0.5000244532167092,51.6,1,1,1,3,2,0.3333333333333333,0.6666666666666666
2022_03_PIT_CLE,2022,3,2976499,0.5208197975912046,53.8,1,1,1,5,5,0.4,0.4
2022_03_ATL_SEA,2022,3,15807,0.4450944266421215,73.1,1,1,1,5,5,0.2,0.4
2022_03_BAL_NE,2022,3,3116365,0.4870061239828136,69.1,1,1,1,7,6,0.14285714285714285,0.14285714285714285
2022_03_BUF_MIA,2022,3,4243537,0.5095028616297703,47.4,0,0,1,4,4,0.0,0.25
2022_03_CIN_NYJ,2022,3,4362628,0.40472519450173994,46.7,1,1,0,3,3,0.3333333333333333,0.3333333333333333
2022_03_DET_MIN,2022,3,4259545,0.445075721781919,63.0,0,0,1,6,6,0.0,0.16666666666666666
2022_03_GB_TB,2022,3,3115364,0.48301595216316373,94.6,0,0,0,3,3,0.0,0.0
2022_03_HOU_CHI,2022,3,4036416,0.3842050448958698,38.2,0,0,0,3,3,0.0,0.0
2022_03_JAX_LAC,2022,3,3068267,0.4446714718129523,79.1,0,1,0,5,5,0.2,0.4
2022_03_KC_IND,2022,3,15847,0.5635093853680355,69.6,1,1,0,3,2,0.3333333333333333,0.6666666666666666
2022_03_LA_ARI,2022,3,3045147,0.45411714737459496,82.9,0,0,0,2,0,0.0,0.0
2022_03_LV_TEN,2022,3,16800,0.4944836241478092,57.1,1,1,1,5,5,0.4,0.4
2022_03_NO_CAR,2022,3,3054850,0.33632022849534204,63.0,0,0,0,3,3,0.0,0.0
2022_03_PHI_WAS,2022,3,4040715,0.4009078110574533,54.6,0,0,0,4,3,0.0,0.25
2022_03_SF_DEN,2022,3,3126486,0.36945219598443546,74.4,0,1,0,2,2,0.5,0.5
2022_03_DAL_NYG,2022,3,3051392,0.43448890373171767,54.0,1,1,1,3,3,0.6666666666666666,1.0
2022_04_MIA_CIN,2022,4,4362628,0.4447108464187909,67.5,0,0,1,4,4,0.0,0.0
2022_04_ARI_CAR,2022,4,3045147,0.44611380521935795,89.3,0,1,1,3,3,0.3333333333333333,0.3333333333333333
2022_04_BUF_BAL,2022,4,4243537,0.5042773804589287,44.8,0,0,0,3,3,0.0,0.0
2022_04_CHI_NYG,2022,4,3127306,0.31100198472317486,32.0,0,0,0,1,1,0.0,0.0
2022_04_CLE_ATL,2022,4,15807,0.4767208548212991,61.2,1,1,1,4,3,0.5,0.5
2022_04_DEN_LV,2022,4,2576434,0.4595187423172141,54.1,0,0,1,4,4,0.0,0.0
2022_04_JAX_PHI,2022,4,4052042,0.44728864627854326,74.5,0,0,0,4,4,0.0,0.25
2022_04_KC_TB,2022,4,15847,0.4360535277606793,48.3,1,1,1,7,6,0.2857142857142857,0.42857142857142855
2022_04_LAC_HOU,2022,4,3068267,0.48226397977186275,69.3,1,1,1,5,5,0.4,0.6
2022_04_MIN_NO,2022,4,3116593,0.3144275135275544,55.7,0,1,0,5,5,0.2,0.4
2022_04_NE_GB,2022,4,3042519,0.43394538867614485,56.0,0,1,0,5,5,0.2,0.2
2022_04_NYJ_PIT,2022,4,4241457,0.45813225467287544,83.5,0,0,0,4,3,0.0,0.0
2022_04_SEA_DET,2022,4,2980453,0.6058522080709001,80.5,1,1,1,8,8,0.25,0.25
2022_04_TEN_IND,2022,4,3043078,0.458551647619276,81.9,1,1,0,4,4,0.25,0.25
2022_04_WAS_DAL,2022,4,3051392,0.42173476078169514,59.6,0,1,0,3,2,0.3333333333333333,0.3333333333333333
