model,top1,top2,auc,brier,logloss,ece
base_rate (no skill),0.2038664323374341,0.3796133567662565,0.5017501870494084,0.1679207517705312,0.51853679227955,0.0045410828086208
volume (touches),0.4674868189806678,0.6818980667838312,0.6790926156031716,0.1564756278825455,0.4856421513794424,0.0089255386303348
weighted volume,0.4745166959578207,0.6924428822495606,0.6614940548542084,0.1582136470636738,0.4910572164237971,0.0071411466113761
historical TD rate,0.4657293497363796,0.6660808435852372,0.6712662144660091,0.1571681960164554,0.493091675565229,0.0195707244514811
hot hand (recent),0.4147627416520211,0.6449912126537786,0.6602025746220976,0.1593547916022655,0.4944668781073686,0.0278494318482608
league Poisson,0.4674868189806678,0.6731107205623902,0.6845666179102056,0.1559060576790457,0.4836307761842088,0.0075885394416571
player-rate Poisson,0.4710017574692443,0.6977152899824253,0.6939993789399024,0.154552522355199,0.4899083867361988,0.0213573699368335
Poisson allocation (incumbent),0.4833040421792619,0.6889279437609842,0.6797840427506893,0.1558557227569002,0.4867211606810184,0.016483157896064
logistic regression,0.5026362038664324,0.7170474516695958,0.7011081586019176,0.1529601561775073,0.4789166655017254,0.0171764671702293
logistic (no incumbent feat),0.5061511423550088,0.7100175746924429,0.7005231197321773,0.1530310271711249,0.4791781981763233,0.0177676774458773
gradient boosting,0.4885764499121265,0.7012302284710018,0.6908081494580673,0.1549336040495136,0.4821448198273144,0.0230776138959602
hist gradient boosting,0.4745166959578207,0.7100175746924429,0.6871379471908179,0.1549807363940187,0.4823833949933291,0.0182072865827537
random forest,0.5114235500878734,0.7047451669595782,0.6945529395094038,0.1540689818972669,0.4852443020958705,0.0217102465223703
extra trees,0.4885764499121265,0.7117750439367311,0.7005186734625428,0.1530713502186189,0.4847384234949196,0.0218041166220855
gaussian naive bayes,0.5061511423550088,0.7258347978910369,0.6931136691409621,0.1539665618192608,0.4803127640507627,0.0215781438841288
k-nearest neighbors,0.5008787346221442,0.7117750439367311,0.6814633794600514,0.1550806382537092,0.4833897848790657,0.0234281163322072
neural net (MLP),0.4516695957820738,0.6608084358523726,0.6821731071956302,0.1559071603806138,0.4973740814933677,0.0119845131177328
ensemble (incumbent+LR+GBM),0.4850615114235501,0.7100175746924429,0.6977364041290508,0.1532190010549544,0.4821440160828487,0.0143331715575602
HTS hierarchical (team x share),0.4903339191564148,0.6889279437609842,0.700918064465368,0.15377093011352713,0.4781020521334848,0.01831556091094385
STACK super-learner (6 models),0.5166959578207382,0.7082601054481547,0.7039102750520391,0.15252147743077402,0.4751763965222338,0.016679752725434725
RANKAVG ensemble (5 models),0.4956063268892794,0.7135325131810193,0.7022600968500629,0.15289693913393754,0.47602739354606505,0.018877988980711153
