rank,model,top1,top2,auc,brier,logloss,family,market
1,STACK + MARKET,0.515,0.717,0.708,0.1521,0.4741,Ensemble,True
2,HTS + MARKET,0.499,0.705,0.707,0.1529,0.4758,Hierarchical,True
3,Market-Poisson (mkt x share),0.489,0.698,0.706,0.153,0.4761,Statistical,True
4,logistic + MARKET,0.503,0.703,0.704,0.1526,0.4755,ML,True
5,STACK super-learner (6 models),0.5166959578207382,0.7082601054481547,0.7039102750520391,0.152521477430774,0.4751763965222338,Ensemble,False
6,RANKAVG ensemble (5 models),0.4956063268892794,0.7135325131810193,0.7022600968500629,0.1528969391339375,0.476027393546065,Ensemble,False
7,logistic regression,0.5026362038664324,0.7170474516695958,0.7011081586019176,0.1529601561775073,0.4789166655017254,ML,False
8,HTS hierarchical (team x share),0.4903339191564148,0.6889279437609842,0.700918064465368,0.1537709301135271,0.4781020521334848,Hierarchical,False
9,logistic (no incumbent feat),0.5061511423550088,0.7100175746924429,0.7005231197321773,0.1530310271711249,0.4791781981763233,ML,False
10,extra trees,0.4885764499121265,0.7117750439367311,0.7005186734625428,0.1530713502186189,0.4847384234949196,ML,False
11,ensemble (incumbent+LR+GBM),0.4850615114235501,0.7100175746924429,0.6977364041290508,0.1532190010549544,0.4821440160828487,Ensemble,False
12,random forest,0.5114235500878734,0.7047451669595782,0.6945529395094038,0.1540689818972669,0.4852443020958705,ML,False
13,player-rate Poisson,0.4710017574692443,0.6977152899824253,0.6939993789399024,0.154552522355199,0.4899083867361988,Statistical,False
14,gaussian naive bayes,0.5061511423550088,0.7258347978910369,0.6931136691409621,0.1539665618192608,0.4803127640507627,ML,False
15,gradient boosting,0.4885764499121265,0.7012302284710018,0.6908081494580673,0.1549336040495136,0.4821448198273144,ML,False
16,hist gradient boosting,0.4745166959578207,0.7100175746924429,0.6871379471908179,0.1549807363940187,0.4823833949933291,ML,False
17,league Poisson,0.4674868189806678,0.6731107205623902,0.6845666179102056,0.1559060576790457,0.4836307761842088,Statistical,False
18,neural net (MLP),0.4516695957820738,0.6608084358523726,0.6821731071956302,0.1559071603806138,0.4973740814933677,ML,False
19,k-nearest neighbors,0.5008787346221442,0.7117750439367311,0.6814633794600514,0.1550806382537092,0.4833897848790657,ML,False
20,Poisson allocation (incumbent),0.4833040421792619,0.6889279437609842,0.6797840427506893,0.1558557227569002,0.4867211606810184,Statistical,False
21,volume (touches),0.4674868189806678,0.6818980667838312,0.6790926156031716,0.1564756278825455,0.4856421513794424,Heuristic,False
22,historical TD rate,0.4657293497363796,0.6660808435852372,0.6712662144660091,0.1571681960164554,0.493091675565229,Heuristic,False
23,weighted volume,0.4745166959578207,0.6924428822495606,0.6614940548542084,0.1582136470636738,0.4910572164237971,Heuristic,False
24,hot hand (recent),0.4147627416520211,0.6449912126537786,0.6602025746220976,0.1593547916022655,0.4944668781073686,Heuristic,False
25,base_rate (no skill),0.2038664323374341,0.3796133567662565,0.5017501870494084,0.1679207517705312,0.51853679227955,Heuristic,False
