league,model,rps,logloss,acc,brier,test_season
bundesliga,elo,0.3974716151724328,0.9870286277562321,0.5032679738562091,0.5904636257532219,2023
bundesliga,elo_mov,0.3911203674140327,0.978003955238519,0.5196078431372549,0.5845005649643427,2023
bundesliga,elo_gd,0.39045883268603326,0.9770099179266102,0.5196078431372549,0.5837456691477445,2023
bundesliga,glicko,0.41561980028847373,1.0167978378336138,0.4934640522875817,0.6098619891572206,2023
bundesliga,pi_rating,0.39308214491519183,0.9816958698634012,0.5228758169934641,0.5870791067271043,2023
bundesliga,massey,0.407561744886941,1.0054878053323841,0.5130718954248366,0.6006654939815675,2023
bundesliga,colley,0.4182846282423429,1.0219419500189921,0.4869281045751634,0.6121203364589977,2023
bundesliga,davidson,0.40813410123235294,1.0074963317624424,0.5130718954248366,0.6015624850738973,2023
bundesliga,kalman,0.39654477726430004,0.9911145388663937,0.5359477124183006,0.591650020781688,2023
bundesliga,bayes_hier,0.4009889401200529,0.9952561893461507,0.5294117647058824,0.5941843226018996,2023
bundesliga,points_per_game,0.39464334740766943,0.983005962415838,0.5359477124183006,0.587916612362533,2023
bundesliga,goal_diff_pg,0.3949979968122214,0.9873278284427257,0.5294117647058824,0.5891821508783086,2023
bundesliga,form_last5,0.4207869115716126,1.024490279496463,0.48366013071895425,0.6157718345126548,2023
bundesliga,head_to_head,0.4578643770655526,1.0769648219176646,0.41830065359477125,0.6507695714832752,2023
bundesliga,lambda_gap,0.3888617365986735,0.9779181930553004,0.545751633986928,0.5833328182942846,2023
bundesliga,shots_gap,0.3922175488521255,0.9810788618918532,0.5163398692810458,0.5845443518838342,2023
bundesliga,sot_gap,0.3909550769219846,0.9795639934694813,0.5032679738562091,0.5837112242957115,2023
bundesliga,poisson,0.3899701097822757,0.9781131336896307,0.545751633986928,0.5847869484294942,2023
bundesliga,dixon_coles,0.39006381719352734,0.9781838757284683,0.545751633986928,0.584875203626243,2023
bundesliga,dixon_coles_decay,0.402893264256222,1.0011729404782344,0.5326797385620915,0.5991302004597526,2023
bundesliga,bivariate_poisson,0.39021308578785013,0.9781508436210127,0.545751633986928,0.5850781551334449,2023
bundesliga,negative_binomial,0.39014780361718665,0.978339655000028,0.545751633986928,0.5849959404330349,2023
bundesliga,zero_infl_poisson,0.3898558030580007,0.9779128904321455,0.545751633986928,0.5846037930716483,2023
bundesliga,skellam,0.3899683628574978,0.9781100717417243,0.545751633986928,0.5847871191214576,2023
bundesliga,poisson_shots,0.39079888757147974,0.9778569686782888,0.5163398692810458,0.5820298449286658,2023
bundesliga,poisson_sot,0.39310897154902213,0.9803305426336427,0.5032679738562091,0.5843634874550668,2023
bundesliga,ML_multinomial_logistic,0.41982975857385096,1.0213340282579921,0.5065359477124183,0.610407312711614,2023
bundesliga,ML_logistic_L1,0.3975319203797265,0.9852704437814638,0.4934640522875817,0.5872612565456101,2023
bundesliga,ML_random_forest,0.392744154589827,0.9806493511597374,0.5261437908496732,0.5847731261874403,2023
bundesliga,ML_extra_trees,0.39324800605922033,0.9841204616264176,0.5359477124183006,0.5865928394728521,2023
bundesliga,ML_hist_gbm,0.478174724427747,1.2463531317111622,0.45751633986928103,0.7080061118194484,2023
bundesliga,ML_kNN,0.39312545388525777,0.9840293897563724,0.5163398692810458,0.5851615831517794,2023
bundesliga,ML_naive_bayes,0.5392265553982027,2.6666707127078153,0.5490196078431373,0.7569715905739175,2023
bundesliga,ML_svm_rbf,0.4230116660027301,1.0295051668460924,0.5,0.618634305539606,2023
bundesliga,ML_neural_net,0.40593000017351105,0.9928156283442322,0.4934640522875817,0.5976606670593365,2023
bundesliga,BASE_rates,0.45625614080054677,1.076454694075784,0.43790849673202614,0.6514161220043574,2023
bundesliga,BASE_always_home,0.8315457516339868,2.5973739698382325,0.43790849673202614,1.0910575163398692,2023
bundesliga,ENS_mean_prob,0.38992988032017806,0.9771162705357666,0.5326797385620915,0.5821118981245746,2023
bundesliga,ENS_logit_mean,0.3834729817726288,0.9644757440689496,0.5163398692810458,0.5750728004082685,2023
bundesliga,ENS_diverse5_mean,0.3936594017946042,0.9868023893994072,0.5294117647058824,0.5884821449070353,2023
bundesliga,elo,0.43354510338264785,1.0411278478567596,0.48366013071895425,0.623148006787056,2024
bundesliga,elo_mov,0.4358390193065732,1.0442609386346275,0.4738562091503268,0.6253706171707174,2024
bundesliga,elo_gd,0.4350943168970806,1.0430803315283284,0.4738562091503268,0.6245664591101018,2024
bundesliga,glicko,0.43549379168126334,1.0386851927059957,0.47058823529411764,0.6234439236305367,2024
bundesliga,pi_rating,0.4346025858862329,1.040346110495588,0.4738562091503268,0.6230348794550483,2024
bundesliga,massey,0.4270453987862172,1.024644962979241,0.4673202614379085,0.6137244122525337,2024
bundesliga,colley,0.42952042475593694,1.028451301109994,0.46078431372549017,0.6163361167445026,2024
bundesliga,davidson,0.42350340351258203,1.019784309025639,0.477124183006536,0.6103851296968252,2024
bundesliga,kalman,0.4447255895142773,1.0514401948108374,0.4477124183006536,0.633231187742885,2024
bundesliga,bayes_hier,0.42984962995829723,1.0292367691598456,0.477124183006536,0.6169884072474581,2024
bundesliga,points_per_game,0.4430686222186138,1.052246955380306,0.46405228758169936,0.6315887752916614,2024
bundesliga,goal_diff_pg,0.4492461474437567,1.0572761548830683,0.42483660130718953,0.6374513838141521,2024
bundesliga,form_last5,0.4633177790783041,1.0764795201581974,0.40522875816993464,0.6516351407565449,2024
