league,market,model,auc_discover,auc_confirm,logloss_confirm
bundesliga,sh1,logistic,0.7837753658279774,0.7771499138032818,0.5494272488601426
bundesliga,sh1,logistic L1,0.7839273836928757,0.777240652876272,0.5493620624433939
bundesliga,sh1,gaussian NB,0.7673336970852405,0.7641047677657653,1.6267100844982942
bundesliga,sh1,kNN (k=150),0.7753992568350441,0.7733996355097856,0.5556724281017462
bundesliga,sh1,random forest,0.7813282227195221,0.7784197207116147,0.5495943984072036
bundesliga,sh1,extra trees,0.7805410027279239,0.7780508231708272,0.5511580192261136
bundesliga,sh1,hist-GBM,0.7824026832660413,0.777012832989443,0.5501486982304487
bundesliga,sh1,gradient boosting,0.7821983958024121,0.7793170653298641,0.5494278703968861
bundesliga,sh1,"MLP (32,16)",0.7782245605316405,0.7709504907093452,0.5592998651748121
bundesliga,sh1,own-rate baseline,,0.743567112832849,0.5953233095743115
bundesliga,sh2,logistic,0.8070985144454864,0.7944481227389579,0.4607474605455255
bundesliga,sh2,logistic L1,0.8072649025490543,0.7947122113463001,0.46062518002360553
bundesliga,sh2,gaussian NB,0.7915086412234168,0.7782987231697065,1.6716475206820316
bundesliga,sh2,kNN (k=150),0.8003543172666443,0.7915719829297561,0.46393427792595177
bundesliga,sh2,random forest,0.8071667133822175,0.7965500185208598,0.4593306585374317
bundesliga,sh2,extra trees,0.8065191839427694,0.796791787828579,0.46105016371399177
bundesliga,sh2,hist-GBM,0.8079295898605339,0.7951772429648458,0.4600693468116387
bundesliga,sh2,gradient boosting,0.8082297805291891,0.7966229374749081,0.4604552116339004
bundesliga,sh2,"MLP (32,16)",0.7956937201611629,0.7880155896842138,0.4699497543507578
bundesliga,sh2,own-rate baseline,,0.7656447893169019,0.4953231052278424
bundesliga,sh3,logistic,0.842989285993916,0.8223640406970955,0.2929566363849115
bundesliga,sh3,logistic L1,0.8430087287436884,0.8225135400256091,0.2929382375759061
bundesliga,sh3,gaussian NB,0.8257471139339881,0.8023550808216564,2.7892549119360934
bundesliga,sh3,kNN (k=150),0.8382759956132952,0.8133993752289445,0.2984265611153775
bundesliga,sh3,random forest,0.8425268638371686,0.824441652781885,0.29027875875764964
bundesliga,sh3,extra trees,0.8428284891985015,0.825228225977437,0.2908571527832998
bundesliga,sh3,hist-GBM,0.8430801939860948,0.8251959563078758,0.2905870096677591
bundesliga,sh3,gradient boosting,0.8409626420700118,0.8172429954018242,0.2969946989244205
bundesliga,sh3,"MLP (32,16)",0.8427875017800626,0.8233477614051222,0.29172449446674925
bundesliga,sh3,own-rate baseline,,0.7952770565422596,0.31172695728464433
bundesliga,sot1,logistic,0.7737750832525272,0.7460436285845147,0.49255556231559483
bundesliga,sot1,logistic L1,0.7738136329534705,0.7462269736474636,0.49242949193501834
bundesliga,sot1,gaussian NB,0.761253769715948,0.733935453600992,1.7823861476685119
bundesliga,sot1,kNN (k=150),0.7668070765389485,0.7380711205692774,0.49823732062888054
bundesliga,sot1,random forest,0.7764874995181288,0.7464516516415877,0.4922992196280475
bundesliga,sot1,extra trees,0.7761940769867182,0.7458273288872505,0.49273550578157954
bundesliga,sot1,hist-GBM,0.7775511005939619,0.744588876973089,0.49365621877257687
bundesliga,sot1,gradient boosting,0.7775881676140997,0.7453947993118626,0.49489499185041175
bundesliga,sot1,"MLP (32,16)",0.7732543657536318,0.7430313515868494,0.49659819374179265
bundesliga,sot1,own-rate baseline,,0.7222167297831696,0.5170853200235499
bundesliga,sot2,logistic,0.8421034028625104,0.8041453311685608,0.21736204885745772
bundesliga,sot2,logistic L1,0.8422012085294288,0.8048682563013774,0.21714779268220363
bundesliga,sot2,gaussian NB,0.8355647066798365,0.791772743721039,2.616064727672553
bundesliga,sot2,kNN (k=150),0.8312331745201712,0.8010542858332292,0.22766304741015334
bundesliga,sot2,random forest,0.8427899792768191,0.8091345553409997,0.21521314198138639
bundesliga,sot2,extra trees,0.8457144655549745,0.8131346610177633,0.21442745970998967
bundesliga,sot2,hist-GBM,0.844319524335212,0.8024384913200949,0.2191311580176757
bundesliga,sot2,gradient boosting,0.8413691340809173,0.8032214600685939,0.2194446472339496
bundesliga,sot2,"MLP (32,16)",0.8074385567369705,0.7816189680183685,0.22749668552440205
bundesliga,sot2,own-rate baseline,,0.7833624344724007,0.22643235852272092
bundesliga,goal1,logistic,0.7679048025699025,0.7362004287245445,0.2926568607786538
bundesliga,goal1,logistic L1,0.7683417847930186,0.7361378476335534,0.29262793817094634
bundesliga,goal1,gaussian NB,0.7657619429064787,0.7307997980951844,3.4608484192498845
bundesliga,goal1,kNN (k=150),0.7648406338183071,0.725109913549952,0.29662372904928336
bundesliga,goal1,random forest,0.7737887711448228,0.739616239822493,0.29235046272578347
bundesliga,goal1,extra trees,0.7720487820370312,0.73907563321487,0.29191970863509675
bundesliga,goal1,hist-GBM,0.7700338411266731,0.7319863414565352,0.2944860983980623
bundesliga,goal1,gradient boosting,0.7691319404010356,0.7371818941445253,0.2956001109935969
bundesliga,goal1,"MLP (32,16)",0.7529788895828848,0.7281283494105038,0.3002553451266727
bundesliga,goal1,own-rate baseline,,0.7236419021831105,0.2997832543891539
bundesliga,asst1,logistic,0.7150429729004155,0.7123187582198119,0.26083911090835515
bundesliga,asst1,logistic L1,0.7150146141891867,0.7127625604139267,0.2608154489720039
bundesliga,asst1,gaussian NB,0.6983544385164234,0.6696082092581468,1.1633997361274586
bundesliga,asst1,kNN (k=150),0.7085928785604362,0.6978592858392823,0.2657441082198665
bundesliga,asst1,random forest,0.7208239907134674,0.702480782102143,0.2616660981521801
bundesliga,asst1,extra trees,0.7231165089292129,0.7077847595440022,0.2603068870206388
bundesliga,asst1,hist-GBM,0.7235140980606423,0.7033712730087083,0.26159136940471944
bundesliga,asst1,gradient boosting,0.716302666853204,0.6945926491202433,0.26495326868197716
bundesliga,asst1,"MLP (32,16)",0.5678442463956078,0.5689926592230575,0.3398207920202543
bundesliga,asst1,own-rate baseline,,0.681817099373806,0.2691913491606241
bundesliga,ga1,logistic,0.7458508926819698,0.7222702097795987,0.40852110397423747
bundesliga,ga1,logistic L1,0.7458424563468707,0.7222256363567391,0.40853371036536323
bundesliga,ga1,gaussian NB,0.734845595448303,0.7002067448124123,1.6766908201569577
bundesliga,ga1,kNN (k=150),0.7466550912301354,0.7167282159250408,0.41336986268257464
bundesliga,ga1,random forest,0.7543676672552482,0.7232013201320132,0.409025228964986
bundesliga,ga1,extra trees,0.7511699038650186,0.7231969576267971,0.4086876906220898
bundesliga,ga1,hist-GBM,0.75241132038454,0.7207475057850613,0.4107054507030081
bundesliga,ga1,gradient boosting,0.7532917402393565,0.7251763969500399,0.40965698376430454
bundesliga,ga1,"MLP (32,16)",0.7425566019226997,0.7186449679450704,0.4161655777203937
bundesliga,ga1,own-rate baseline,,0.7074173020750351,0.420905634339795
bundesliga,card1,logistic,0.6221051751525792,0.6336470373287355,0.39449793861162663
bundesliga,card1,logistic L1,0.6226438429212731,0.6343765299389089,0.3943411829778722
bundesliga,card1,gaussian NB,0.6131997212009844,0.6220669519004945,0.7743152709783766
bundesliga,card1,kNN (k=150),0.606523663044792,0.6111037201018895,0.3990512309178244
bundesliga,card1,random forest,0.6172439530373541,0.6267155271504289,0.39580641797686505
bundesliga,card1,extra trees,0.6208283571001264,0.6296341627819522,0.39607485661584907
bundesliga,card1,hist-GBM,0.6145069706251708,0.6353634514002711,0.39416946796645363
bundesliga,card1,gradient boosting,0.6112685745079106,0.6236037644479449,0.4000913876755104
bundesliga,card1,"MLP (32,16)",0.5832847081165775,0.586133786727403,0.4177286741775072
bundesliga,card1,own-rate baseline,,0.6192565206439756,0.4009200010616112
bundesliga,foul2,logistic,0.6841570530063028,0.6812677126341866,0.46596304921856807
bundesliga,foul2,logistic L1,0.684486474459875,0.6813108175061933,0.46590210723714015
bundesliga,foul2,gaussian NB,0.6456567508152516,0.6323473162675475,1.5560247825246434
