league,market,model,auc_discover,auc_confirm,logloss_confirm
epl,sh1,logistic,0.8025545695029573,0.7908065812801733,0.5375964232575557
epl,sh1,logistic L1,0.8025865402960908,0.7908308745778783,0.5375620959911906
epl,sh1,gaussian NB,0.789950892174203,0.7775738167247926,1.7520497185638069
epl,sh1,kNN (k=150),0.7946605337747366,0.7830025475799632,0.5440794297708063
epl,sh1,random forest,0.8028381813775286,0.7910851672377986,0.5386186532635031
epl,sh1,extra trees,0.8010871444753266,0.7904553207249065,0.5394323709138021
epl,sh1,hist-GBM,0.802143865131381,0.7925450233503072,0.5367976145147525
epl,sh1,gradient boosting,0.8036416108466932,0.7926401778023038,0.539444055849442
epl,sh1,"MLP (32,16)",0.7961121452917851,0.7843506545230288,0.5456845104343374
epl,sh1,own-rate baseline,,0.7618348050281515,0.5869703138460766
epl,sh2,logistic,0.8259764915482245,0.8045699802339633,0.4510966776923479
epl,sh2,logistic L1,0.8260453147704568,0.8046174571303185,0.4510049228518841
epl,sh2,gaussian NB,0.8147217661599764,0.7853987383592695,2.658661348020685
epl,sh2,kNN (k=150),0.8232674197251612,0.797578118165194,0.4544125502792697
epl,sh2,random forest,0.8305505751350922,0.8059560566650095,0.44920552401676683
epl,sh2,extra trees,0.8278041205953138,0.8045809159235732,0.45031107123880865
epl,sh2,hist-GBM,0.828511953245618,0.8078288601917426,0.44791107608179326
epl,sh2,gradient boosting,0.8290428055609164,0.8067442264893342,0.45004136460720223
epl,sh2,"MLP (32,16)",0.8248082705646627,0.8046241252337393,0.4503970427027322
epl,sh2,own-rate baseline,,0.7750912285455995,0.48226284879676823
epl,sh3,logistic,0.8502882508408188,0.8300708509626218,0.28114609789688755
epl,sh3,logistic L1,0.8503682882039972,0.830099057824066,0.2811848237145268
epl,sh3,gaussian NB,0.8329695459384218,0.8135011558137012,2.8516277456903634
epl,sh3,kNN (k=150),0.8463891438313297,0.8238477330195528,0.2843178138396459
epl,sh3,random forest,0.8551719259952204,0.8292805581286666,0.2810774991024484
epl,sh3,extra trees,0.8506924705471035,0.8295948393126873,0.28137345415151743
epl,sh3,hist-GBM,0.8512594794252014,0.8303305543733153,0.2803033089216212
epl,sh3,gradient boosting,0.8513696083551562,0.8301797561525174,0.28169551638059503
epl,sh3,"MLP (32,16)",0.8416693436269241,0.8244468367423579,0.2851159186614816
epl,sh3,own-rate baseline,,0.7989268874813276,0.29852535900844707
epl,sot1,logistic,0.7837633134111917,0.7567096911892791,0.48400262061523497
epl,sot1,logistic L1,0.7838920665914362,0.7568748868153948,0.48382333889128915
epl,sot1,gaussian NB,0.7727513197883895,0.7510568387935024,1.8157657891220884
epl,sot1,kNN (k=150),0.7834580937080943,0.755008194206098,0.48464909677891105
epl,sot1,random forest,0.7873377165869335,0.7590044641445544,0.48207990296932735
epl,sot1,extra trees,0.7859567613312132,0.758979761155331,0.481812728460953
epl,sot1,hist-GBM,0.7843123355471778,0.7578409084376069,0.4830871809157488
epl,sot1,gradient boosting,0.7827988482873232,0.7559808182636116,0.48674516366012605
epl,sot1,"MLP (32,16)",0.7827989393433206,0.7533073260262789,0.487997860680522
epl,sot1,own-rate baseline,,0.7406509965275682,0.5017447015487959
epl,sot2,logistic,0.8491928108085683,0.8042580081291729,0.18741671275513502
epl,sot2,logistic L1,0.849251329655346,0.8044339870936345,0.18733845827784834
epl,sot2,gaussian NB,0.8356643798527028,0.8013978068117205,2.866420173762599
epl,sot2,kNN (k=150),0.8434281549282348,0.8012480539892289,0.19429606423583132
epl,sot2,random forest,0.8491543477167897,0.8102599150335074,0.18618285179922828
epl,sot2,extra trees,0.8499705894716078,0.8118403116596772,0.18565453022678097
epl,sot2,hist-GBM,0.843483651674944,0.8044636272895888,0.18825346957499975
epl,sot2,gradient boosting,0.8322823751398751,0.7938359876051219,0.20513939156625335
epl,sot2,"MLP (32,16)",0.8437082486572947,0.8038085944774263,0.19063223877296565
epl,sot2,own-rate baseline,,0.7771288488803144,0.1941450297790243
epl,goal1,logistic,0.7814801288646651,0.768683436722476,0.26945648408869377
epl,goal1,logistic L1,0.7814632558725512,0.7687093040603299,0.2694416756393955
epl,goal1,gaussian NB,0.7749774651816433,0.763310550023822,3.434999250574995
epl,goal1,kNN (k=150),0.7820051601359438,0.7651013117347077,0.27022526004299674
epl,goal1,random forest,0.7866522633806577,0.7667391754214571,0.26980344474621276
epl,goal1,extra trees,0.7887608249618295,0.7685845793770343,0.2694260402136974
epl,goal1,hist-GBM,0.7852269642412553,0.7683501691603583,0.26941532093490866
epl,goal1,gradient boosting,0.7806173565345724,0.7680391595401148,0.27056035139962226
epl,goal1,"MLP (32,16)",0.7812754032270159,0.764455029332358,0.2735526202850798
epl,goal1,own-rate baseline,,0.7360960051205298,0.2811982376225235
epl,asst1,logistic,0.7055275562266823,0.6831738149931635,0.23411884515155693
epl,asst1,logistic L1,0.7071779302037955,0.6841972721798831,0.23394786926717523
epl,asst1,gaussian NB,0.687026894148596,0.6551015197424461,1.39970425795703
epl,asst1,kNN (k=150),0.7011211762057106,0.6608526818936864,0.2387917608766397
epl,asst1,random forest,0.7143419427106701,0.6731254240863277,0.23662927333111552
epl,asst1,extra trees,0.7119252821818859,0.6757230789595605,0.23586306540879248
epl,asst1,hist-GBM,0.7103031385916824,0.6799670362843016,0.23533530425874644
epl,asst1,gradient boosting,0.7139273161638366,0.67959871007804,0.23830194815922828
