league,market,model,auc_discover,auc_confirm,logloss_confirm
laliga,sh1,logistic,0.7860383849312167,0.7873432329752033,0.5398977675628959
laliga,sh1,logistic L1,0.7861160292777956,0.7874788980736936,0.5398012293366451
laliga,sh1,gaussian NB,0.768882717903362,0.7684427937680726,1.6642478089729995
laliga,sh1,kNN (k=150),0.7796925325359543,0.7805800586934416,0.5476901354843804
laliga,sh1,random forest,0.7874684790226132,0.7870962617709829,0.541700402295313
laliga,sh1,extra trees,0.7860134944906393,0.7874281789244615,0.5420128906535248
laliga,sh1,hist-GBM,0.7848455105665452,0.7867803884300166,0.5404032561241487
laliga,sh1,gradient boosting,0.787058720144608,0.7864196269168389,0.5428969483072762
laliga,sh1,"MLP (32,16)",0.7849983102156453,0.7853279231067335,0.5428522519920702
laliga,sh1,own-rate baseline,,0.759556281280259,0.5900384531354242
laliga,sh2,logistic,0.8152798582500402,0.820072530762341,0.417217487813812
laliga,sh2,logistic L1,0.8153355960239443,0.8200743456074492,0.41721637651424465
laliga,sh2,gaussian NB,0.7966174656894044,0.8013286194482814,2.575509343002603
laliga,sh2,kNN (k=150),0.8085864192435525,0.8119585970788826,0.4248431647991288
laliga,sh2,random forest,0.8169688847670586,0.8193027498819634,0.4186610831035538
laliga,sh2,extra trees,0.8145815681352305,0.8188639394384277,0.41922687471736364
laliga,sh2,hist-GBM,0.8165989518466097,0.820791066147952,0.41690951648571084
laliga,sh2,gradient boosting,0.8158780530340367,0.818074577334514,0.41963705556565034
laliga,sh2,"MLP (32,16)",0.8044436662061978,0.8057605667207267,0.4335649599899436
laliga,sh2,own-rate baseline,,0.7953139839642197,0.44810306264014166
laliga,sh3,logistic,0.8566891129657711,0.8542193464444361,0.259240924451012
laliga,sh3,logistic L1,0.8567819085171756,0.8542162221083576,0.2592530255287328
laliga,sh3,gaussian NB,0.8361058754532277,0.8359893661485823,2.5244328360495234
laliga,sh3,kNN (k=150),0.8480806754428998,0.8452426949550998,0.26837721992778113
laliga,sh3,random forest,0.8595914006090727,0.8534439903742677,0.25974244936751684
laliga,sh3,extra trees,0.8580868702254214,0.8543439727391263,0.2601702297252672
laliga,sh3,hist-GBM,0.8576279399251695,0.8519205293875052,0.26086898921695756
laliga,sh3,gradient boosting,0.8542741961002961,0.8458967226408832,0.26522402818941015
laliga,sh3,"MLP (32,16)",0.8465134401155169,0.8390538191189928,0.27112869137268947
laliga,sh3,own-rate baseline,,0.8252945901773651,0.28009311043714874
laliga,sot1,logistic,0.7769840787016072,0.7909801417950404,0.444847342721034
laliga,sot1,logistic L1,0.7770929589812432,0.7909953580861119,0.4448856300771511
laliga,sot1,gaussian NB,0.7611312207806021,0.7761278603201186,1.6375083026798212
laliga,sot1,kNN (k=150),0.7726018740703376,0.7828507201511422,0.45138898648602105
laliga,sot1,random forest,0.7788573029760475,0.7902251869311907,0.4466122451912044
laliga,sot1,extra trees,0.7781282784950067,0.7907189130464574,0.44668424545257573
laliga,sot1,hist-GBM,0.7801277072008844,0.7904117518912858,0.4459364392516186
laliga,sot1,gradient boosting,0.7798420601397857,0.7897135509577994,0.4476824421924166
laliga,sot1,"MLP (32,16)",0.7765264995060602,0.7874474104660675,0.44635681602177063
laliga,sot1,own-rate baseline,,0.7642545222391764,0.47514890034335405
laliga,sot2,logistic,0.838439943576345,0.866865635086449,0.1734358881333309
laliga,sot2,logistic L1,0.8386671202715341,0.8670148465395873,0.1734418620739647
laliga,sot2,gaussian NB,0.8266299366487657,0.8613373804710742,2.626768401884954
