league,market,model,auc_discover,auc_confirm,logloss_confirm
ligue1,sh1,logistic,0.7972445752105142,0.7812901182520728,0.5512260069828557
ligue1,sh1,logistic L1,0.7972595932844397,0.7814489130752956,0.5510472530595053
ligue1,sh1,gaussian NB,0.7788183235302312,0.7566465482539282,1.8056690405710567
ligue1,sh1,kNN (k=150),0.7912715716131414,0.7699975834135011,0.5611974522462723
ligue1,sh1,random forest,0.7975033649191723,0.7794834007138394,0.5519761742181956
ligue1,sh1,extra trees,0.7968925210862464,0.7774456988831981,0.5535713365759455
ligue1,sh1,hist-GBM,0.7952081026208934,0.7798143608183733,0.550944709144763
ligue1,sh1,gradient boosting,0.7970068978666499,0.7805851704782927,0.5527173229373161
ligue1,sh1,"MLP (32,16)",0.7941192922612953,0.7787049429318036,0.5538355583688905
ligue1,sh1,own-rate baseline,,0.7466140277784197,0.6040474778176188
ligue1,sh2,logistic,0.8075572796388074,0.8078530329083019,0.4379379799028589
ligue1,sh2,logistic L1,0.8075496394705508,0.807844547166581,0.43801787747472665
ligue1,sh2,gaussian NB,0.7901121086576081,0.7842343106823578,1.6605478153606712
ligue1,sh2,kNN (k=150),0.799519606401596,0.7986616347706988,0.4436842572430994
ligue1,sh2,random forest,0.8116531305949817,0.811104114096008,0.4343290541411938
ligue1,sh2,extra trees,0.8104211895021205,0.8084068392100816,0.4370571430323317
ligue1,sh2,hist-GBM,0.8096200529910538,0.8127599502765309,0.43234334765015003
ligue1,sh2,gradient boosting,0.8109483611118319,0.8106554118934369,0.4352154425590942
ligue1,sh2,"MLP (32,16)",0.8054978939083353,0.8056163700378881,0.4383077704975946
ligue1,sh2,own-rate baseline,,0.7778358381158675,0.4710055890074868
ligue1,sh3,logistic,0.8392249930430875,0.8224295672784258,0.278364020687403
ligue1,sh3,logistic L1,0.8392136630168323,0.8222544837577224,0.27842241596629036
ligue1,sh3,gaussian NB,0.8236734266393235,0.8023159054024017,2.509346523085752
ligue1,sh3,kNN (k=150),0.8298025563302653,0.8145639331298232,0.28110541005743106
ligue1,sh3,random forest,0.8420740801331306,0.822503286655564,0.2767714967393031
ligue1,sh3,extra trees,0.8397928760663697,0.8224815059305005,0.2768033688598062
ligue1,sh3,hist-GBM,0.8398486971713346,0.8224466009223858,0.27725739232061714
ligue1,sh3,gradient boosting,0.8390627802281646,0.8248889741501887,0.2763502564404514
ligue1,sh3,"MLP (32,16)",0.8292308045175302,0.8128281768862946,0.28408913369546007
ligue1,sh3,own-rate baseline,,0.7844078211791302,0.2980111768646586
ligue1,sot1,logistic,0.7794298077097395,0.7620064046838895,0.4694111908653179
ligue1,sot1,logistic L1,0.7793919414819116,0.7621284057389534,0.4693115382222232
ligue1,sot1,gaussian NB,0.7650625713829565,0.7454670143919637,1.7292325658595145
ligue1,sot1,kNN (k=150),0.7716443504465291,0.7538187370438891,0.47491794103677043
ligue1,sot1,random forest,0.7844089973666158,0.7615331119185075,0.4697976048332034
ligue1,sot1,extra trees,0.7837969972519937,0.7616701216295537,0.4699005443250892
ligue1,sot1,hist-GBM,0.7820786892378625,0.7631289332709211,0.4692747744109906
ligue1,sot1,gradient boosting,0.7802891810192828,0.7561253891477016,0.4740296992880517
ligue1,sot1,"MLP (32,16)",0.7735346647040557,0.7520133146096635,0.47725556289201176
ligue1,sot1,own-rate baseline,,0.7353081603994382,0.49644568303815484
ligue1,sot2,logistic,0.8349781512154713,0.8233276089499489,0.18472176990699932
ligue1,sot2,logistic L1,0.8352322535843394,0.8233709151546827,0.18477535519337238
ligue1,sot2,gaussian NB,0.8215422093508779,0.8080693894820677,2.33074566544066
ligue1,sot2,kNN (k=150),0.8212751562461622,0.8123833345777645,0.19158663073718882
ligue1,sot2,random forest,0.8361910546141462,0.8244729833992882,0.18325130106227885
ligue1,sot2,extra trees,0.8356940143038645,0.8286960850195376,0.18200611550483278
