tour,group,n_cols,logloss,brier,acc,auc,delta
wta,(full model),22,0.6270667975623357,0.21860011443547234,0.6457000931387767,0.7052016377343387,0.0
wta,drop surface,19,0.6277269500661432,0.2188874813261729,0.6429059298354548,0.7043401041702885,0.0006601525038074652
wta,drop elo_family,18,0.6308146806438608,0.22023483093315174,0.6427196522819,0.7002352755737594,0.003747883081525072
wta,drop other_ratings,20,0.6287617270823851,0.21926733525784858,0.6446445203352996,0.7033149980644817,0.0016949295200493486
wta,drop form,18,0.6267423179060329,0.21854294269597055,0.646134740763738,0.705867780536181,-0.00032447965630288955
wta,drop matchup,20,0.6247755963480227,0.21745524471078068,0.6497981993169824,0.7078361523905775,-0.0022912012143130323
wta,drop seeding,21,0.6270467485767725,0.21861810675225699,0.645513815585222,0.7051961518342609,-2.0048985563292376e-05
wta,drop physical,20,0.6271007577603936,0.21864866270777095,0.6473144986029183,0.705218234513729,3.396019805790296e-05
wta,drop experience,21,0.6287434207387901,0.21943057937031255,0.6443340577460416,0.7010751900555312,0.0016766231764543393
wta,drop context,19,0.6270930556027944,0.21861374862532293,0.6460105557280348,0.7052080971885148,2.6258040458637666e-05
wta,(surface features only),3,0.6397269029115535,0.22469994333924392,0.625395839801304,0.6812563792904954,0.012660105349217798
